,budget_number,miss-classification_modified,node_list
0,1,0.675,"[99063, 118448, 117221, 137448, 64792, 32890, 18261, 96422, 160484, 102971, 161367, 770, 87307, 140050, 118887, 169250, 70152, 23257, 83198, 1045, 120925, 6403, 19261, 128014, 113674, 20618, 110573, 109645, 114911, 112272, 54390, 163905, 77677, 118813, 21117, 73728, 140007, 137381, 12506, 144212]"
1,2,0.9,"[99063, 118448, 117221, 137448, 64792, 32890, 18261, 96422, 160484, 102971, 161367, 770, 87307, 140050, 118887, 169250, 70152, 23257, 83198, 1045, 120925, 6403, 19261, 128014, 113674, 20618, 110573, 109645, 114911, 112272, 54390, 163905, 77677, 118813, 21117, 73728, 140007, 137381, 12506, 144212]"
2,3,0.95,"[99063, 118448, 117221, 137448, 64792, 32890, 18261, 96422, 160484, 102971, 161367, 770, 87307, 140050, 118887, 169250, 70152, 23257, 83198, 1045, 120925, 6403, 19261, 128014, 113674, 20618, 110573, 109645, 114911, 112272, 54390, 163905, 77677, 118813, 21117, 73728, 140007, 137381, 12506, 144212]"
3,4,1.0,"[99063, 118448, 117221, 137448, 64792, 32890, 18261, 96422, 160484, 102971, 161367, 770, 87307, 140050, 118887, 169250, 70152, 23257, 83198, 1045, 120925, 6403, 19261, 128014, 113674, 20618, 110573, 109645, 114911, 112272, 54390, 163905, 77677, 118813, 21117, 73728, 140007, 137381, 12506, 144212]"
4,5,1.0,"[99063, 118448, 117221, 137448, 64792, 32890, 18261, 96422, 160484, 102971, 161367, 770, 87307, 140050, 118887, 169250, 70152, 23257, 83198, 1045, 120925, 6403, 19261, 128014, 113674, 20618, 110573, 109645, 114911, 112272, 54390, 163905, 77677, 118813, 21117, 73728, 140007, 137381, 12506, 144212]"
5,6,1.0,"[99063, 118448, 117221, 137448, 64792, 32890, 18261, 96422, 160484, 102971, 161367, 770, 87307, 140050, 118887, 169250, 70152, 23257, 83198, 1045, 120925, 6403, 19261, 128014, 113674, 20618, 110573, 109645, 114911, 112272, 54390, 163905, 77677, 118813, 21117, 73728, 140007, 137381, 12506, 144212]"
6,7,1.0,"[99063, 118448, 117221, 137448, 64792, 32890, 18261, 96422, 160484, 102971, 161367, 770, 87307, 140050, 118887, 169250, 70152, 23257, 83198, 1045, 120925, 6403, 19261, 128014, 113674, 20618, 110573, 109645, 114911, 112272, 54390, 163905, 77677, 118813, 21117, 73728, 140007, 137381, 12506, 144212]"
